"codtop";"deftop";"n"
"161";"gpersi";"Personal Investments";1
"162";"gplan";"Urban/Rural Planning";1
"163";"grape";"Sex Crimes";1
"164";"grape";"Sexual Assault/Rape";1
"165";"gscho";"School";1
"166";"gsec";"State Security Measures/Policies";1
"167";"gsexu";"Sexuality";1
"168";"gspo";"Sports";1
"169";"gstres";"Stress-related Conditions";1
"170";"gterr";"Terrorism";1
"171";"gtrade";"Tariffs/Trade Barriers";1
"172";"gtrans";"Transport";1
"173";"gtub";"Tuberculosis";1
"174";"gvbod";"Government Bodies (Discontinued from 10th January 2023)";1
"175";"gvexe";"Executive Branch (Discontinued from 10th January 2023)";1
"176";"gvio";"Military Actio";1
"177";"gvote";"Elections";1
"178";"gvsup";"Judicial Branch";1
"179";"gweb";"Social Media";1
"180";"memiss";"Emission Market";1
"181";"nfce";"FC&E Exclusion Filter";1
"182";"nrgn";"Routine General News";1
"183";"reqevr";"Suggested Reading Environment/Waste Management";1
"184";"reqpap";"Suggested Reading – Paper/Packaging";1
"185";"reqraf";"Suggested Reading – Agriculture/Forestry";1
"186";"reqrch";"Suggested Reading Chemicals";1
"187";"reqrhc";"Suggested Reading Healthcare";1
"188";"reqrph";"Suggested Reading Pharmaceuticals";1
"189";"reqrph";"Suggested Reading – Pharmaceuticals";1
